tiempo,fuerza,desplazamiento,timestamp,deformacion,esfuerzo
70,11.938,8.4,1779646569.747,0.168,0.994833
71,12.074,8.52,1779646570.746,0.1704,1.006167
72,12.033,8.64,1779646571.745,0.1728,1.00275
73,12.168,8.76,1779646572.745,0.1752,1.014
74,12.259,8.88,1779646573.745,0.1776,1.021583
75,12.437,9.0,1779646574.746,0.18,1.036417
76,12.324,9.12,1779646575.745,0.1824,1.027
77,12.462,9.24,1779646576.744,0.1848,1.0385
78,12.461,9.36,1779646577.746,0.1872,1.038417
79,12.435,9.48,1779646578.746,0.1896,1.03625
80,12.686,9.6,1779646579.745,0.192,1.057167
81,12.758,9.72,1779646580.745,0.1944,1.063167
82,12.559,9.84,1779646581.745,0.1968,1.046583
83,12.799,9.96,1779646582.746,0.1992,1.066583
84,12.947,10.08,1779646583.746,0.2016,1.078917
85,12.833,10.2,1779646584.745,0.204,1.069417
86,13.153,10.32,1779646585.745,0.2064,1.096083
87,12.897,10.44,1779646586.747,0.2088,1.07475
88,13.047,10.56,1779646587.748,0.2112,1.08725
89,13.028,10.68,1779646588.747,0.2136,1.085667
90,13.268,10.8,1779646589.747,0.216,1.105667
91,13.153,10.92,1779646590.747,0.2184,1.096083
92,12.688,11.04,1779646591.745,0.2208,1.057333
93,12.585,11.16,1779646592.745,0.2232,1.04875
94,12.244,11.28,1779646593.745,0.2256,1.020333
95,12.288,11.4,1779646594.745,0.228,1.024
96,11.971,11.52,1779646595.747,0.2304,0.997583
97,11.873,11.64,1779646596.75,0.2328,0.989417
98,11.533,11.76,1779646597.747,0.2352,0.961083
99,11.813,11.88,1779646598.39,0.2376,0.984417
100,11.205,12.0,1779646599.39,0.24,0.93375
101,11.039,12.12,1779646600.388,0.2424,0.919917
102,10.808,12.24,1779646601.388,0.2448,0.900667
103,10.791,12.36,1779646602.388,0.2472,0.89925
104,10.907,12.48,1779646603.389,0.2496,0.908917
105,10.341,12.6,1779646604.393,0.252,0.86175
106,10.182,12.72,1779646605.392,0.2544,0.8485
107,10.369,12.84,1779646606.392,0.2568,0.864083
108,9.818,12.96,1779646607.391,0.2592,0.818167
109,9.841,13.08,1779646608.392,0.2616,0.820083
110,9.49,13.2,1779646609.392,0.264,0.790833
111,9.287,13.32,1779646610.393,0.2664,0.773917
112,9.45,13.44,1779646611.392,0.2688,0.7875
113,9.102,13.56,1779646612.392,0.2712,0.7585
114,8.726,13.68,1779646613.39,0.2736,0.727167
115,8.927,13.8,1779646614.392,0.276,0.743917
116,8.367,13.92,1779646615.392,0.2784,0.69725
117,8.277,14.04,1779646616.392,0.2808,0.68975
118,8.145,14.16,1779646617.392,0.2832,0.67875
119,8.218,14.28,1779646618.393,0.2856,0.684833
120,7.609,14.4,1779646619.392,0.288,0.634083
