tiempo,fuerza,desplazamiento,timestamp,deformacion,esfuerzo
40,8.592,4.8,1776987796.471,0.096,0.716
41,8.934,4.92,1776987797.476,0.0984,0.7445
42,9.119,5.04,1776987798.472,0.1008,0.759917
43,9.116,5.16,1776987799.483,0.1032,0.759667
44,9.543,5.28,1776987800.479,0.1056,0.79525
45,9.707,5.4,1776987801.471,0.108,0.808917
46,10.093,5.52,1776987802.475,0.1104,0.841083
47,10.26,5.64,1776987803.476,0.1128,0.855
48,10.464,5.76,1776987804.471,0.1152,0.872
49,10.773,5.88,1776987805.472,0.1176,0.89775
50,10.621,6.0,1776987806.485,0.12,0.885083
51,11.031,6.12,1776987807.483,0.1224,0.91925
52,10.755,6.24,1776987808.482,0.1248,0.89625
53,10.905,6.36,1776987809.477,0.1272,0.90875
54,10.869,6.48,1776987810.48,0.1296,0.90575
55,11.058,6.6,1776987811.477,0.132,0.9215
56,11.025,6.72,1776987812.471,0.1344,0.91875
57,11.323,6.84,1776987813.477,0.1368,0.943583
58,11.263,6.96,1776987814.474,0.1392,0.938583
59,11.232,7.08,1776987815.481,0.1416,0.936
60,11.59,7.2,1776987816.477,0.144,0.965833
61,11.509,7.32,1776987817.473,0.1464,0.959083
62,11.547,7.44,1776987818.485,0.1488,0.96225
63,11.589,7.56,1776987819.483,0.1512,0.96575
64,11.543,7.68,1776987820.471,0.1536,0.961917
65,11.673,7.8,1776987821.483,0.156,0.97275
66,11.675,7.92,1776987822.476,0.1584,0.972917
67,11.693,8.04,1776987823.472,0.1608,0.974417
68,12.011,8.16,1776987824.479,0.1632,1.000917
69,11.871,8.28,1776987825.477,0.1656,0.98925
70,11.913,8.4,1776987827.226,0.168,0.99275
71,11.931,8.52,1776987829.115,0.1704,0.99425
72,12.161,8.64,1776987829.134,0.1728,1.013417
73,12.105,8.76,1776987829.471,0.1752,1.00875
74,12.163,8.88,1776987830.475,0.1776,1.013583
75,12.386,9.0,1776987831.47,0.18,1.032167
76,12.263,9.12,1776987832.476,0.1824,1.021917
77,12.31,9.24,1776987833.47,0.1848,1.025833
78,12.653,9.36,1776987834.47,0.1872,1.054417
79,12.74,9.48,1776987835.482,0.1896,1.061667
80,12.489,9.6,1776987836.482,0.192,1.04075
81,12.57,9.72,1776987837.48,0.1944,1.0475
82,12.665,9.84,1776987838.481,0.1968,1.055417
83,12.948,9.96,1776987839.477,0.1992,1.079
84,12.817,10.08,1776987840.472,0.2016,1.068083
85,12.862,10.2,1776987841.486,0.204,1.071833
86,13.044,10.32,1776987842.482,0.2064,1.087
87,12.844,10.44,1776987843.478,0.2088,1.070333
88,13.234,10.56,1776987844.473,0.2112,1.102833
89,13.154,10.68,1776987845.472,0.2136,1.096167
90,13.28,10.8,1776987846.486,0.216,1.106667
91,13.141,10.92,1776987847.483,0.2184,1.095083
92,13.046,11.04,1776987848.482,0.2208,1.087167
93,12.461,11.16,1776987849.473,0.2232,1.038417
94,12.304,11.28,1776987850.475,0.2256,1.025333
95,12.5,11.4,1776987851.476,0.228,1.041667
96,12.256,11.52,1776987852.476,0.2304,1.021333
97,12.12,11.64,1776987853.486,0.2328,1.01
98,11.946,11.76,1776987854.484,0.2352,0.9955
99,11.767,11.88,1776987855.483,0.2376,0.980583
100,11.179,12.0,1776987856.481,0.24,0.931583
101,11.171,12.12,1776987857.476,0.2424,0.930917
102,11.127,12.24,1776987858.473,0.2448,0.92725
103,10.834,12.36,1776987859.473,0.2472,0.902833
104,10.851,12.48,1776987860.472,0.2496,0.90425
105,10.683,12.6,1776987861.485,0.252,0.89025
106,10.268,12.72,1776987862.482,0.2544,0.855667
107,9.943,12.84,1776987863.477,0.2568,0.828583
108,9.991,12.96,1776987864.486,0.2592,0.832583
109,9.783,13.08,1776987865.471,0.2616,0.81525
110,9.804,13.2,1776987866.471,0.264,0.817
111,9.42,13.32,1776987867.48,0.2664,0.785
112,9.174,13.44,1776987868.473,0.2688,0.7645
113,8.968,13.56,1776987869.477,0.2712,0.747333
114,9.002,13.68,1776987870.478,0.2736,0.750167
115,8.475,13.8,1776987871.472,0.276,0.70625
116,8.709,13.92,1776987872.481,0.2784,0.72575
117,8.548,14.04,1776987873.48,0.2808,0.712333
118,8.036,14.16,1776987874.667,0.2832,0.669667
119,7.842,14.28,1776987876.659,0.2856,0.6535
120,7.602,14.4,1776987876.716,0.288,0.6335
